ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision,ID_Registro,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Tiempo_Hasta_Fallo,Impacto_Temp_Vibracion
8851,1,2021-01-03 18:00:00,Preventivo,6672.53,33,Planta Oeste,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,432.0,442.07714999999996
9263,1,2021-01-20 22:00:00,Preventivo,535.74,8,Planta Sur,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,412.0,442.07714999999996
9490,1,2021-01-30 09:00:00,Correctivo,566.84,12,Planta Oeste,Motor,Schneider,X100,1009,9656,,122.97,3.5949999999999998,50710.0,227.0,442.07714999999996
169,2,2020-01-08 00:00:00,Correctivo,7265.9,18,Planta Oeste,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,,442.07714999999996
629,2,2020-01-27 04:00:00,Correctivo,644.29,6,Planta Norte,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,460.0,442.07714999999996
645,2,2020-01-27 20:00:00,Correctivo,3751.38,38,Planta Oeste,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,16.0,442.07714999999996
653,2,2020-01-28 04:00:00,Correctivo,7861.61,31,Planta Sur,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,8.0,442.07714999999996
721,2,2020-01-31 00:00:00,Preventivo,368.95,33,Planta Este,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,68.0,442.07714999999996
1542,2,2020-03-05 05:00:00,Correctivo,511.52,7,Planta Norte,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,821.0,442.07714999999996
4200,2,2020-06-23 23:00:00,Preventivo,214.85,9,Planta Norte,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,2658.0,442.07714999999996
4792,2,2020-07-18 15:00:00,Correctivo,1168.73,11,Planta Norte,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,592.0,442.07714999999996
6594,2,2020-10-01 17:00:00,Preventivo,5971.5,40,Planta Oeste,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,1802.0,442.07714999999996
6807,2,2020-10-10 14:00:00,Preventivo,7124.36,46,Planta Sur,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,213.0,442.07714999999996
7337,2,2020-11-01 16:00:00,Preventivo,8444.3,10,Planta Este,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,530.0,442.07714999999996
8195,2,2020-12-07 10:00:00,Correctivo,1676.31,7,Planta Este,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,858.0,442.07714999999996
9447,2,2021-01-28 14:00:00,Preventivo,2250.3,40,Planta Este,Motor,ABB,Z300,1220,2165,,122.97,3.5949999999999998,50710.0,1252.0,442.07714999999996
132,3,2020-01-06 11:00:00,Preventivo,3130.98,34,Planta Oeste,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,,442.07714999999996
699,3,2020-01-30 02:00:00,Preventivo,1953.21,4,Planta Sur,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,567.0,442.07714999999996
735,3,2020-01-31 14:00:00,Correctivo,864.74,43,Planta Oeste,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,36.0,442.07714999999996
736,3,2020-01-31 15:00:00,Preventivo,6847.99,40,Planta Este,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,1.0,442.07714999999996
1124,3,2020-02-16 19:00:00,Correctivo,387.13,4,Planta Oeste,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,388.0,442.07714999999996
1475,3,2020-03-02 10:00:00,Correctivo,4864.14,1,Planta Oeste,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,351.0,442.07714999999996
2466,3,2020-04-12 17:00:00,Correctivo,3575.96,11,Planta Oeste,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,991.0,442.07714999999996
3691,3,2020-06-02 18:00:00,Correctivo,4092.73,12,Planta Sur,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,1225.0,442.07714999999996
4382,3,2020-07-01 13:00:00,Correctivo,2701.98,3,Planta Este,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,691.0,442.07714999999996
5590,3,2020-08-20 21:00:00,Preventivo,9792.2,4,Planta Norte,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,1208.0,442.07714999999996
6769,3,2020-10-09 00:00:00,Correctivo,2354.15,5,Planta Sur,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,1179.0,442.07714999999996
7621,3,2020-11-13 12:00:00,Preventivo,6187.48,11,Planta Este,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,852.0,442.07714999999996
7695,3,2020-11-16 14:00:00,Correctivo,3025.23,21,Planta Sur,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,74.0,442.07714999999996
7853,3,2020-11-23 04:00:00,Preventivo,2193.76,32,Planta Este,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,158.0,442.07714999999996
8917,3,2021-01-06 12:00:00,Correctivo,6600.64,25,Planta Sur,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,1064.0,442.07714999999996
9834,3,2021-02-13 17:00:00,Correctivo,769.32,3,Planta Norte,Motor,GE,Y200,3733,6674,,122.97,3.5949999999999998,50710.0,917.0,442.07714999999996
609,4,2020-01-26 08:00:00,Correctivo,9416.56,31,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,,442.07714999999996
2442,4,2020-04-11 17:00:00,Correctivo,2986.25,42,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,1833.0,442.07714999999996
2503,4,2020-04-14 06:00:00,Preventivo,7276.72,39,Planta Sur,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,61.0,442.07714999999996
2527,4,2020-04-15 06:00:00,Correctivo,8455.67,32,Planta Norte,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,24.0,442.07714999999996
3131,4,2020-05-10 10:00:00,Correctivo,8297.73,40,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,604.0,442.07714999999996
3778,4,2020-06-06 09:00:00,Correctivo,4150.74,21,Planta Norte,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,647.0,442.07714999999996
4255,4,2020-06-26 06:00:00,Preventivo,4901.71,13,Planta Oeste,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,477.0,442.07714999999996
4335,4,2020-06-29 14:00:00,Correctivo,4022.59,7,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,80.0,442.07714999999996
5432,4,2020-08-14 07:00:00,Correctivo,5682.17,2,Planta Oeste,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,1097.0,442.07714999999996
5852,4,2020-08-31 19:00:00,Correctivo,9632.64,16,Planta Oeste,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,420.0,442.07714999999996
6244,4,2020-09-17 03:00:00,Correctivo,9122.53,30,Planta Oeste,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,392.0,442.07714999999996
6650,4,2020-10-04 01:00:00,Preventivo,847.81,7,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,406.0,442.07714999999996
7810,4,2020-11-21 09:00:00,Correctivo,9168.74,7,Planta Norte,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,1160.0,442.07714999999996
7977,4,2020-11-28 08:00:00,Preventivo,2780.51,10,Planta Oeste,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,167.0,442.07714999999996
7993,4,2020-11-29 00:00:00,Correctivo,5931.58,47,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,16.0,442.07714999999996
8275,4,2020-12-10 18:00:00,Preventivo,3022.96,16,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,282.0,442.07714999999996
8836,4,2021-01-03 03:00:00,Preventivo,3832.43,46,Planta Norte,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,561.0,442.07714999999996
9029,4,2021-01-11 04:00:00,Preventivo,6337.4,22,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,193.0,442.07714999999996
9640,4,2021-02-05 15:00:00,Preventivo,7428.64,24,Planta Norte,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,611.0,442.07714999999996
9830,4,2021-02-13 13:00:00,Correctivo,5882.19,7,Planta Este,Transformador,Siemens,X100,662,1480,,122.97,3.5949999999999998,50710.0,190.0,442.07714999999996
343,5,2020-01-15 06:00:00,Preventivo,6125.48,5,Planta Este,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,,442.07714999999996
383,5,2020-01-16 22:00:00,Correctivo,6411.42,22,Planta Sur,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,40.0,442.07714999999996
1254,5,2020-02-22 05:00:00,Preventivo,9551.1,24,Planta Oeste,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,871.0,442.07714999999996
1303,5,2020-02-24 06:00:00,Correctivo,4899.06,43,Planta Norte,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,49.0,442.07714999999996
1656,5,2020-03-09 23:00:00,Correctivo,3733.39,7,Planta Norte,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,353.0,442.07714999999996
3031,5,2020-05-06 06:00:00,Correctivo,6883.97,43,Planta Este,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,1375.0,442.07714999999996
4118,5,2020-06-20 13:00:00,Preventivo,4526.36,22,Planta Este,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,1087.0,442.07714999999996
4884,5,2020-07-22 11:00:00,Correctivo,3558.49,39,Planta Norte,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,766.0,442.07714999999996
5333,5,2020-08-10 04:00:00,Correctivo,7248.64,22,Planta Sur,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,449.0,442.07714999999996
5386,5,2020-08-12 09:00:00,Correctivo,4902.43,10,Planta Este,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,53.0,442.07714999999996
6660,5,2020-10-04 11:00:00,Preventivo,567.91,3,Planta Norte,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,1274.0,442.07714999999996
7775,5,2020-11-19 22:00:00,Correctivo,2279.49,5,Planta Oeste,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,1115.0,442.07714999999996
8389,5,2020-12-15 12:00:00,Preventivo,2187.3,34,Planta Oeste,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,614.0,442.07714999999996
8447,5,2020-12-17 22:00:00,Correctivo,3677.31,30,Planta Norte,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,58.0,442.07714999999996
8655,5,2020-12-26 14:00:00,Preventivo,5278.8,25,Planta Oeste,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,208.0,442.07714999999996
8686,5,2020-12-27 21:00:00,Correctivo,4279.45,23,Planta Este,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,31.0,442.07714999999996
9190,5,2021-01-17 21:00:00,Preventivo,6129.89,25,Planta Sur,Compresor,ABB,Y200,982,4282,,122.97,3.5949999999999998,50710.0,504.0,442.07714999999996
673,6,2020-01-29 00:00:00,Preventivo,4278.32,47,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,,442.07714999999996
771,6,2020-02-02 02:00:00,Preventivo,4803.49,41,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,98.0,442.07714999999996
1200,6,2020-02-19 23:00:00,Correctivo,9855.74,39,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,429.0,442.07714999999996
1324,6,2020-02-25 03:00:00,Preventivo,5060.75,21,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,124.0,442.07714999999996
1628,6,2020-03-08 19:00:00,Correctivo,1180.72,32,Planta Este,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,304.0,442.07714999999996
2615,6,2020-04-18 22:00:00,Preventivo,3874.8,11,Planta Norte,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,987.0,442.07714999999996
2844,6,2020-04-28 11:00:00,Correctivo,5065.27,28,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,229.0,442.07714999999996
2885,6,2020-04-30 04:00:00,Correctivo,6669.22,20,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,41.0,442.07714999999996
3403,6,2020-05-21 18:00:00,Preventivo,2827.1,20,Planta Norte,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,518.0,442.07714999999996
3963,6,2020-06-14 02:00:00,Preventivo,1775.75,7,Planta Norte,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,560.0,442.07714999999996
4626,6,2020-07-11 17:00:00,Preventivo,8403.1,12,Planta Este,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,663.0,442.07714999999996
4990,6,2020-07-26 21:00:00,Correctivo,5801.53,31,Planta Este,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,364.0,442.07714999999996
5246,6,2020-08-06 13:00:00,Correctivo,1080.72,19,Planta Este,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,256.0,442.07714999999996
5546,6,2020-08-19 01:00:00,Correctivo,7879.46,10,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,300.0,442.07714999999996
5960,6,2020-09-05 07:00:00,Preventivo,8374.22,5,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,414.0,442.07714999999996
6546,6,2020-09-29 17:00:00,Preventivo,8080.04,45,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,586.0,442.07714999999996
6698,6,2020-10-06 01:00:00,Correctivo,773.66,1,Planta Norte,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,152.0,442.07714999999996
6831,6,2020-10-11 14:00:00,Correctivo,6608.16,28,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,133.0,442.07714999999996
6984,6,2020-10-17 23:00:00,Preventivo,732.25,21,Planta Este,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,153.0,442.07714999999996
7398,6,2020-11-04 05:00:00,Correctivo,5139.71,25,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,414.0,442.07714999999996
7461,6,2020-11-06 20:00:00,Correctivo,6663.36,40,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,63.0,442.07714999999996
7543,6,2020-11-10 06:00:00,Correctivo,6886.25,7,Planta Este,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,82.0,442.07714999999996
8848,6,2021-01-03 15:00:00,Correctivo,8899.45,45,Planta Oeste,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,1305.0,442.07714999999996
9149,6,2021-01-16 04:00:00,Preventivo,7599.96,44,Planta Sur,Compresor,GE,Z300,4426,8747,,122.97,3.5949999999999998,50710.0,301.0,442.07714999999996
967,7,2020-02-10 06:00:00,Preventivo,1335.83,38,Planta Este,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,,442.07714999999996
2554,7,2020-04-16 09:00:00,Preventivo,1505.25,16,Planta Sur,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,1587.0,442.07714999999996
3749,7,2020-06-05 04:00:00,Correctivo,4034.27,25,Planta Norte,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,1195.0,442.07714999999996
3750,7,2020-06-05 05:00:00,Correctivo,8258.61,10,Planta Este,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,1.0,442.07714999999996
4366,7,2020-06-30 21:00:00,Correctivo,4327.56,43,Planta Norte,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,616.0,442.07714999999996
4885,7,2020-07-22 12:00:00,Preventivo,1553.92,35,Planta Norte,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,519.0,442.07714999999996
5005,7,2020-07-27 12:00:00,Correctivo,8001.62,36,Planta Este,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,120.0,442.07714999999996
5117,7,2020-08-01 04:00:00,Preventivo,7924.27,47,Planta Este,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,112.0,442.07714999999996
6595,7,2020-10-01 18:00:00,Preventivo,9819.65,13,Planta Oeste,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,1478.0,442.07714999999996
8183,7,2020-12-06 22:00:00,Correctivo,5177.7,11,Planta Este,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,1588.0,442.07714999999996
9114,7,2021-01-14 17:00:00,Preventivo,3246.14,33,Planta Sur,Transformador,ABB,Y200,1830,1238,,122.97,3.5949999999999998,50710.0,931.0,442.07714999999996
320,8,2020-01-14 07:00:00,Correctivo,8698.93,24,Planta Norte,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,,442.07714999999996
368,8,2020-01-16 07:00:00,Preventivo,9101.18,35,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,48.0,442.07714999999996
981,8,2020-02-10 20:00:00,Preventivo,6325.52,22,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,613.0,442.07714999999996
1021,8,2020-02-12 12:00:00,Correctivo,5333.37,5,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,40.0,442.07714999999996
1959,8,2020-03-22 14:00:00,Correctivo,8345.37,5,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,938.0,442.07714999999996
2191,8,2020-04-01 06:00:00,Preventivo,3765.12,15,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,232.0,442.07714999999996
3409,8,2020-05-22 00:00:00,Preventivo,3817.0,11,Planta Norte,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,1218.0,442.07714999999996
4034,8,2020-06-17 01:00:00,Correctivo,1914.29,27,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,625.0,442.07714999999996
4492,8,2020-07-06 03:00:00,Preventivo,8193.41,17,Planta Norte,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,458.0,442.07714999999996
4652,8,2020-07-12 19:00:00,Preventivo,6491.25,19,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,160.0,442.07714999999996
4730,8,2020-07-16 01:00:00,Preventivo,6407.23,1,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,78.0,442.07714999999996
5034,8,2020-07-28 17:00:00,Correctivo,7690.19,35,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,304.0,442.07714999999996
5311,8,2020-08-09 06:00:00,Correctivo,4631.16,2,Planta Oeste,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,277.0,442.07714999999996
5723,8,2020-08-26 10:00:00,Preventivo,3222.26,22,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,412.0,442.07714999999996
6202,8,2020-09-15 09:00:00,Correctivo,7069.72,35,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,479.0,442.07714999999996
6316,8,2020-09-20 03:00:00,Correctivo,5364.35,5,Planta Oeste,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,114.0,442.07714999999996
6504,8,2020-09-27 23:00:00,Preventivo,4181.39,26,Planta Norte,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,188.0,442.07714999999996
6615,8,2020-10-02 14:00:00,Correctivo,275.86,46,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,111.0,442.07714999999996
6809,8,2020-10-10 16:00:00,Correctivo,1248.41,38,Planta Norte,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,194.0,442.07714999999996
6961,8,2020-10-17 00:00:00,Correctivo,8247.34,25,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,152.0,442.07714999999996
7306,8,2020-10-31 09:00:00,Correctivo,5358.97,43,Planta Oeste,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,345.0,442.07714999999996
7358,8,2020-11-02 13:00:00,Correctivo,8431.01,19,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,52.0,442.07714999999996
8252,8,2020-12-09 19:00:00,Preventivo,6012.83,13,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,894.0,442.07714999999996
9219,8,2021-01-19 02:00:00,Correctivo,6483.5,24,Planta Este,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,967.0,442.07714999999996
9337,8,2021-01-24 00:00:00,Correctivo,4769.57,18,Planta Sur,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,118.0,442.07714999999996
9684,8,2021-02-07 11:00:00,Correctivo,1526.97,6,Planta Norte,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,347.0,442.07714999999996
9936,8,2021-02-17 23:00:00,Preventivo,1895.82,13,Planta Oeste,Transformador,GE,Y200,532,3846,,122.97,3.5949999999999998,50710.0,252.0,442.07714999999996
958,9,2020-02-09 21:00:00,Correctivo,9466.7,37,Planta Oeste,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,,442.07714999999996
1055,9,2020-02-13 22:00:00,Correctivo,7990.93,4,Planta Sur,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,97.0,442.07714999999996
2984,9,2020-05-04 07:00:00,Correctivo,7528.71,21,Planta Oeste,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,1929.0,442.07714999999996
3983,9,2020-06-14 22:00:00,Preventivo,385.5,23,Planta Este,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,999.0,442.07714999999996
4095,9,2020-06-19 14:00:00,Correctivo,7445.01,47,Planta Oeste,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,112.0,442.07714999999996
4785,9,2020-07-18 08:00:00,Preventivo,3243.99,32,Planta Este,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,690.0,442.07714999999996
4932,9,2020-07-24 11:00:00,Correctivo,2547.97,24,Planta Norte,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,147.0,442.07714999999996
5401,9,2020-08-13 00:00:00,Correctivo,4422.82,33,Planta Este,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,469.0,442.07714999999996
5485,9,2020-08-16 12:00:00,Correctivo,357.57,13,Planta Norte,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,84.0,442.07714999999996
5758,9,2020-08-27 21:00:00,Correctivo,241.71,44,Planta Este,Compresor,ABB,X100,3484,9688,,122.97,3.5949999999999998,50710.0,273.0,442.07714999999996
